Map,Claude 3.5 Sonnet,Claude 3 Haiku,Claude 3 Opus,GPT-4 Turbo,GPT-4o Mini,GPT-4o,Gemini 1.5 Flash,Gemini 1.5 Pro
fields/maps/96.txt,9,7,9,9,9,9,9,4
fields/maps/82.txt,9,9,6,9,9,9,9,9
fields/maps/7.txt,9,9,9,9,9,9,4,9
fields/maps/55.txt,9,9,9,8,9,9,6,7
fields/maps/41.txt,9,9,9,9,9,9,7,6
fields/maps/69.txt,9,9,9,9,9,9,9,9
fields/maps/45.txt,9,9,9,9,9,9,7,8
fields/maps/51.txt,9,7,9,9,7,9,7,7
fields/maps/3.txt,9,9,9,9,9,9,9,7
fields/maps/79.txt,9,9,8,9,9,9,9,6
fields/maps/86.txt,9,,9,8,9,9,6,9
fields/maps/92.txt,9,9,9,9,9,9,9,7
fields/maps/93.txt,9,9,7,9,9,9,9,7
fields/maps/87.txt,9,9,9,9,9,9,9,6
fields/maps/78.txt,9,9,9,9,9,9,4,9
fields/maps/50.txt,9,9,9,9,9,9,9,7
fields/maps/2.txt,9,9,9,9,9,9,9,9
fields/maps/44.txt,9,7,7,8,7,7,7,4
fields/maps/52.txt,9,9,9,9,9,9,9,7
fields/maps/46.txt,9,9,9,9,9,9,9,6
fields/maps/91.txt,,7,9,9,9,9,5,7
fields/maps/85.txt,9,7,9,9,9,9,9,7
fields/maps/84.txt,9,7,9,9,9,9,4,7
fields/maps/90.txt,9,7,9,9,7,9,8,7
fields/maps/47.txt,9,,9,9,9,9,7,9
fields/maps/1.txt,9,9,9,9,9,9,9,9
fields/maps/53.txt,9,7,9,9,9,9,9,6
fields/maps/34.txt,9,9,9,9,9,9,9,6
fields/maps/20.txt,9,7,9,9,9,9,6,6
fields/maps/21.txt,9,9,9,9,9,9,9,9
fields/maps/35.txt,9,9,9,9,9,9,9,9
fields/maps/23.txt,9,7,9,9,9,9,9,6
fields/maps/37.txt,9,7,7,9,9,9,9,6
fields/maps/36.txt,9,9,9,9,7,9,7,7
fields/maps/22.txt,9,9,9,9,9,9,7,9
fields/maps/26.txt,9,7,8,9,9,9,7,5
fields/maps/32.txt,9,9,9,7,9,9,9,7
fields/maps/33.txt,9,9,9,9,9,9,9,9
fields/maps/27.txt,9,9,9,9,9,9,9,7
fields/maps/31.txt,9,7,9,9,9,9,5,6
fields/maps/25.txt,9,7,7,9,9,9,5,4
fields/maps/19.txt,9,9,9,9,9,9,9,9
fields/maps/18.txt,9,7,8,7,9,9,7,7
fields/maps/24.txt,9,9,9,9,7,9,6,9
fields/maps/30.txt,9,7,9,9,9,9,9,7
Average,9,8.102040816,8.78,8.72,8.84,8.93,7.65,7.01
